sos,eos,tos,anomaly_true,anomaly_pred,mse
77,96,75,0,1,0.0012726994464173913
82,97,75,0,1,0.0060724071227014065
91,100,75,0,0,0.0015476793050765991
74,96,75,0,0,0.004221102688461542
89,98,75,0,1,0.0014380801003426313
73,99,75,0,0,0.004082085099071264
70,96,75,0,0,0.0009470666409470141
70,96,75,0,0,0.005389451049268246
71,97,75,0,1,0.005935714114457369
76,95,75,1,1,0.0011495983926579356
77,95,75,1,1,0.0009182495414279401
77,95,75,1,1,0.0004347461217548698
73,97,75,0,0,0.00344829261302948
71,97,75,0,0,0.006770646665245295
76,97,75,0,1,0.0013152534374967217
77,96,75,0,0,0.004317798651754856
72,97,75,1,1,0.012832204811275005
70,97,75,0,0,0.0050367931835353374
75,96,75,0,1,0.0018953531980514526
80,97,75,0,1,0.004319087136536837
76,96,75,0,0,0.007926990278065205
73,96,75,0,0,0.003768942318856716
72,98,75,0,0,0.0030560775194317102
72,96,75,0,0,0.0006881384761072695
71,95,75,0,1,0.002236120169982314
70,97,75,0,0,0.0015533448895439506
90,99,75,0,0,0.005519982893019915
75,96,75,0,0,0.0008045033900998533
74,99,75,0,0,0.0017347894608974457
74,94,75,1,0,0.0002065864682663232
77,96,75,0,0,0.0029723639599978924
74,97,75,0,0,0.0018682496156543493
76,97,75,0,1,0.0034435526467859745
77,97,75,0,0,0.0019059058977290988
74,96,75,1,1,0.0007564216502942145
88,99,75,0,1,0.020841576159000397
79,95,75,0,1,0.005907662678509951
71,97,75,0,0,0.0010957543272525072
74,96,75,0,1,0.0009941287571564317
75,96,75,0,0,0.0015757951186969876
75,97,75,0,1,0.0026253387331962585
89,98,75,0,0,0.0017264960333704948
75,97,75,0,0,0.0014014028711244464
75,95,75,1,1,0.00044098994112573564
79,96,75,0,1,0.009679018519818783
72,96,75,0,0,9.873783710645512e-05
80,97,75,0,1,0.009343593381345272
77,98,75,0,0,0.0005236369324848056
71,96,75,0,0,0.0033068284392356873
91,101,75,0,0,0.0050073713064193726
78,97,75,0,1,0.00229827594012022
75,99,75,0,1,0.001030528568662703
76,95,75,0,0,0.00010756601113826036
84,95,75,1,0,0.0012090799864381552
76,96,75,0,0,0.0020938985981047153
72,97,75,0,1,0.0009397819521836936
76,97,75,1,1,0.0002830310841090977
72,99,75,0,0,0.002871932927519083
76,95,75,1,1,0.002184571698307991
72,94,75,0,1,0.006761051248759031
72,99,75,1,1,0.0003787963942158967
74,96,75,0,0,0.0011862118262797594
75,96,75,1,1,0.0008034142665565014
76,95,75,0,0,0.0010783864418044686
75,97,75,0,0,0.0010045712115243077
74,98,75,0,1,0.006167478859424591
80,97,75,0,1,0.009979896247386932
77,97,75,0,0,0.0009620513883419335
73,93,75,1,0,0.0006551298429258168
73,93,75,0,0,0.002445453079417348
74,97,75,0,1,0.0025115234311670065
77,95,75,0,0,0.002877460326999426
71,99,75,0,0,0.002723783254623413
78,97,75,0,0,0.003189189126715064
75,96,75,0,0,0.0009124689386226237
76,96,75,0,0,0.0013201797846704721
76,96,75,1,1,0.0014704223722219467
75,96,75,0,0,0.0018990493845194578
73,98,75,0,0,0.0023403014056384563
76,97,75,0,0,0.0006698481156490743
75,96,75,1,1,0.0006830613710917532
71,97,75,0,0,0.004712085239589214
74,97,75,0,1,0.003013834124431014
87,98,75,0,1,0.010759063065052032
76,97,75,0,1,0.008735924027860165
74,97,75,0,1,0.0023147142492234707
76,97,75,0,0,0.00421562697738409
77,96,75,0,1,0.001235664589330554
80,96,75,0,0,0.0054430789314210415
74,98,75,0,0,0.002695678500458598
88,98,75,0,0,0.00327257695607841
80,95,75,0,1,0.00344460248015821
74,97,75,0,1,0.0006924163899384439
76,98,75,0,0,0.0015700262738391757
75,95,75,0,0,0.0010993820615112782
73,96,75,0,1,0.004559218883514404
73,98,75,0,0,0.004993322771042585
70,89,75,0,0,0.0037415374536067247
87,96,75,0,1,0.0006758215022273362
70,95,75,0,0,0.003242307575419545
77,97,75,0,1,0.021381475031375885
75,96,75,0,0,0.003825539955869317
76,96,75,0,0,0.0015570612158626318
76,97,75,0,1,0.0010980813531205058
71,97,75,0,0,0.004105143714696169
72,96,75,0,1,0.001650000223889947
78,97,75,0,0,0.010816080495715141
73,97,75,0,1,0.0018251771107316017
75,96,75,0,0,0.0013292452786117792
74,98,75,0,0,0.001168389804661274
76,96,75,1,1,0.00011312736751278862
88,98,75,0,0,0.004959538578987122
73,99,75,0,1,0.004585008602589369
77,96,75,0,1,0.003099235240370035
76,96,75,0,0,0.0018653286388143897
72,98,75,0,0,0.004032625816762447
73,97,75,0,0,0.001000891556032002
75,97,75,0,0,0.004133635200560093
73,96,75,0,0,0.0004647548485081643
75,96,75,1,1,0.0005030182073824108
89,98,75,0,1,0.010274127125740051
76,97,75,0,1,0.014055617153644562
79,97,75,0,0,0.0006833297084085643
72,97,75,0,0,0.00038763449992984533
88,99,75,0,1,0.021215619519352913
76,96,75,0,0,0.002836860017850995
69,87,75,0,0,0.0005712647107429802
71,98,75,0,0,0.002919950056821108
78,97,75,0,0,0.0009685580735094845
79,97,75,0,1,0.019895663484930992
75,97,75,0,0,0.0018429066985845566
73,93,75,0,0,0.00019869064271915704
76,97,75,0,0,0.004347045440226793
74,96,75,0,0,0.0036539079155772924
71,98,75,0,0,0.006720353849232197
87,97,75,0,0,0.002805737080052495
78,97,75,1,1,0.0006409574416466057
71,98,75,0,0,0.0013910350389778614
76,96,75,0,0,0.004104448948055506
74,98,75,0,0,0.00808910746127367
72,98,75,0,0,0.001859785639680922
73,99,75,0,0,0.006886941846460104
73,96,75,0,1,0.0006783368298783898
79,96,75,0,0,0.0038882456719875336
75,95,75,1,1,0.00043843008461408317
71,97,75,0,0,0.0033405774738639593
76,96,75,1,1,0.0010431583505123854
70,97,75,0,1,0.004190945997834206
80,97,75,0,1,0.00918769370764494
75,96,75,0,0,0.0004933985183015466
74,97,75,0,0,0.0013879155740141869
75,95,75,0,1,0.002671976573765278
76,97,75,0,0,0.006750351283699274
72,97,75,0,0,0.0018650557613000274
78,96,75,1,1,0.00266891997307539
78,96,75,0,0,0.004528790712356567
74,98,75,0,0,0.005149949807673693
75,97,75,0,0,0.0006811143830418587
76,97,75,0,0,0.0021104898769408464
71,96,75,0,0,0.002750201616436243
73,97,75,0,0,0.005560085643082857
81,95,75,0,1,0.009772391989827156
74,96,75,1,1,0.000424552068579942
82,97,75,0,1,0.015202468261122704
78,95,75,0,1,0.00024711599689908326
75,97,75,1,0,0.00036965066101402044
88,99,75,0,1,0.007669496815651655
76,95,75,0,0,0.009646647609770298
73,96,75,0,1,0.0035736390855163336
77,96,75,0,1,0.0027364089619368315
78,96,75,0,1,0.001270993147045374
72,98,75,0,0,0.0016179317608475685
79,95,75,1,1,0.0014751802664250135
73,98,75,0,0,0.005093755666166544
81,98,75,0,0,0.0002828366123139858
77,97,75,0,0,0.0047878073528409
74,97,75,1,1,0.00040992474532686174
76,94,75,0,0,0.00242361007258296
75,97,75,0,0,0.0005229265079833567
76,96,75,1,1,0.0006382294814102352
77,95,75,1,1,0.0014304372016340494
90,103,75,0,0,0.00039716344326734543
75,96,75,0,1,0.0027480428107082844
71,98,75,0,0,0.0034932701382786036
73,96,75,0,0,0.00260904710739851
73,97,75,0,0,0.006025961600244045
78,97,75,0,1,0.004985588602721691
76,98,75,0,0,0.014166933484375477
75,96,75,0,1,0.002560989698395133
74,97,75,0,1,0.0067044575698673725
77,97,75,1,1,0.0017044878331944346
75,96,75,0,0,0.005923402030020952
77,97,75,0,0,0.0019344701431691647
75,96,75,0,0,0.003361063776537776
72,98,75,0,0,0.009629019536077976
73,99,75,0,0,0.00850758422166109
71,95,75,0,0,0.0006841616705060005
71,98,75,0,1,0.013044328428804874
79,96,75,0,0,0.00877403188496828
73,96,75,0,0,0.0006950302049517632
88,98,75,1,0,0.0001421407505404204
73,94,75,0,0,0.0027672573924064636
87,95,75,0,0,0.006140133831650019
78,96,75,1,1,0.000655537995044142
76,97,75,0,0,0.0009955165442079306
73,95,75,0,0,0.00048334457096643746
75,96,75,0,0,0.003296734532341361
75,96,75,1,0,0.00020466219575610012
71,97,75,0,0,0.006472120527178049
75,97,75,1,0,0.0003241796512156725
89,99,75,1,0,0.0005139389541000128
71,97,75,0,1,0.0027110218070447445
74,96,75,0,0,0.0013292260700836778
